kode_bps,nama_wilayah,tahun,semester,jenis_nakes,jumlah,faskes_level,sumber_data,coverage_periode
3503,Kabupaten Trenggalek,2024,1,dokter_umum,94,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,1,dokter_spesialis,112,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,1,dokter_gigi,40,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,1,perawat,434,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,1,bidan,317,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,1,ahli_gizi,28,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,1,sanitarian,20,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,1,dokter_umum,154,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,1,dokter_spesialis,122,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,1,dokter_gigi,57,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,1,perawat,530,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,1,bidan,610,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,1,ahli_gizi,44,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,1,sanitarian,36,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3505,Kabupaten Blitar,2024,1,dokter_umum,255,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3505,Kabupaten Blitar,2024,1,dokter_spesialis,131,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3505,Kabupaten Blitar,2024,1,dokter_gigi,67,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3505,Kabupaten Blitar,2024,1,perawat,708,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3505,Kabupaten Blitar,2024,1,bidan,553,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3505,Kabupaten Blitar,2024,1,ahli_gizi,49,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3505,Kabupaten Blitar,2024,1,sanitarian,24,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3506,Kabupaten Kediri,2024,1,dokter_umum,273,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3506,Kabupaten Kediri,2024,1,dokter_spesialis,204,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3506,Kabupaten Kediri,2024,1,dokter_gigi,88,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3506,Kabupaten Kediri,2024,1,perawat,750,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3506,Kabupaten Kediri,2024,1,bidan,864,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3506,Kabupaten Kediri,2024,1,ahli_gizi,33,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3506,Kabupaten Kediri,2024,1,sanitarian,51,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3507,Kabupaten Malang,2024,1,dokter_umum,361,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3507,Kabupaten Malang,2024,1,dokter_spesialis,171,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3507,Kabupaten Malang,2024,1,dokter_gigi,126,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3507,Kabupaten Malang,2024,1,perawat,1255,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3507,Kabupaten Malang,2024,1,bidan,1036,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3507,Kabupaten Malang,2024,1,ahli_gizi,108,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3507,Kabupaten Malang,2024,1,sanitarian,92,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3508,Kabupaten Lumajang,2024,1,dokter_umum,175,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3508,Kabupaten Lumajang,2024,1,dokter_spesialis,155,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3508,Kabupaten Lumajang,2024,1,dokter_gigi,66,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3508,Kabupaten Lumajang,2024,1,perawat,674,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3508,Kabupaten Lumajang,2024,1,bidan,640,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3508,Kabupaten Lumajang,2024,1,ahli_gizi,33,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3508,Kabupaten Lumajang,2024,1,sanitarian,42,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3509,Kabupaten Jember,2024,1,dokter_umum,482,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3509,Kabupaten Jember,2024,1,dokter_spesialis,362,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3509,Kabupaten Jember,2024,1,dokter_gigi,102,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3509,Kabupaten Jember,2024,1,perawat,1213,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3509,Kabupaten Jember,2024,1,bidan,913,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3509,Kabupaten Jember,2024,1,ahli_gizi,77,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3509,Kabupaten Jember,2024,1,sanitarian,99,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3510,Kabupaten Banyuwangi,2024,1,dokter_umum,357,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3510,Kabupaten Banyuwangi,2024,1,dokter_spesialis,276,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3510,Kabupaten Banyuwangi,2024,1,dokter_gigi,77,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3510,Kabupaten Banyuwangi,2024,1,perawat,1138,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3510,Kabupaten Banyuwangi,2024,1,bidan,935,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3510,Kabupaten Banyuwangi,2024,1,ahli_gizi,76,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3510,Kabupaten Banyuwangi,2024,1,sanitarian,61,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3511,Kabupaten Bondowoso,2024,1,dokter_umum,104,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3511,Kabupaten Bondowoso,2024,1,dokter_spesialis,63,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3511,Kabupaten Bondowoso,2024,1,dokter_gigi,55,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3511,Kabupaten Bondowoso,2024,1,perawat,523,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3511,Kabupaten Bondowoso,2024,1,bidan,446,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3511,Kabupaten Bondowoso,2024,1,ahli_gizi,26,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3511,Kabupaten Bondowoso,2024,1,sanitarian,29,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3512,Kabupaten Situbondo,2024,1,dokter_umum,91,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3512,Kabupaten Situbondo,2024,1,dokter_spesialis,120,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3512,Kabupaten Situbondo,2024,1,dokter_gigi,51,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3512,Kabupaten Situbondo,2024,1,perawat,378,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3512,Kabupaten Situbondo,2024,1,bidan,251,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3512,Kabupaten Situbondo,2024,1,ahli_gizi,25,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3512,Kabupaten Situbondo,2024,1,sanitarian,23,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3513,Kabupaten Probolinggo,2024,1,dokter_umum,179,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3513,Kabupaten Probolinggo,2024,1,dokter_spesialis,77,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3513,Kabupaten Probolinggo,2024,1,dokter_gigi,59,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3513,Kabupaten Probolinggo,2024,1,perawat,807,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3513,Kabupaten Probolinggo,2024,1,bidan,431,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3513,Kabupaten Probolinggo,2024,1,ahli_gizi,55,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3513,Kabupaten Probolinggo,2024,1,sanitarian,28,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3514,Kabupaten Pasuruan,2024,1,dokter_umum,227,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3514,Kabupaten Pasuruan,2024,1,dokter_spesialis,118,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3514,Kabupaten Pasuruan,2024,1,dokter_gigi,128,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3514,Kabupaten Pasuruan,2024,1,perawat,1165,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3514,Kabupaten Pasuruan,2024,1,bidan,695,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3514,Kabupaten Pasuruan,2024,1,ahli_gizi,37,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3514,Kabupaten Pasuruan,2024,1,sanitarian,53,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3515,Kabupaten Sidoarjo,2024,1,dokter_umum,437,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3515,Kabupaten Sidoarjo,2024,1,dokter_spesialis,128,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3515,Kabupaten Sidoarjo,2024,1,dokter_gigi,136,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3515,Kabupaten Sidoarjo,2024,1,perawat,1481,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3515,Kabupaten Sidoarjo,2024,1,bidan,973,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3515,Kabupaten Sidoarjo,2024,1,ahli_gizi,77,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3515,Kabupaten Sidoarjo,2024,1,sanitarian,75,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3516,Kabupaten Mojokerto,2024,1,dokter_umum,162,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3516,Kabupaten Mojokerto,2024,1,dokter_spesialis,104,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3516,Kabupaten Mojokerto,2024,1,dokter_gigi,75,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3516,Kabupaten Mojokerto,2024,1,perawat,695,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3516,Kabupaten Mojokerto,2024,1,bidan,546,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3516,Kabupaten Mojokerto,2024,1,ahli_gizi,33,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3516,Kabupaten Mojokerto,2024,1,sanitarian,43,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3517,Kabupaten Jombang,2024,1,dokter_umum,197,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3517,Kabupaten Jombang,2024,1,dokter_spesialis,187,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3517,Kabupaten Jombang,2024,1,dokter_gigi,100,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3517,Kabupaten Jombang,2024,1,perawat,756,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3517,Kabupaten Jombang,2024,1,bidan,482,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3517,Kabupaten Jombang,2024,1,ahli_gizi,35,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3517,Kabupaten Jombang,2024,1,sanitarian,28,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3518,Kabupaten Nganjuk,2024,1,dokter_umum,150,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3518,Kabupaten Nganjuk,2024,1,dokter_spesialis,82,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3518,Kabupaten Nganjuk,2024,1,dokter_gigi,59,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3518,Kabupaten Nganjuk,2024,1,perawat,624,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3518,Kabupaten Nganjuk,2024,1,bidan,514,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3518,Kabupaten Nganjuk,2024,1,ahli_gizi,44,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3518,Kabupaten Nganjuk,2024,1,sanitarian,37,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3519,Kabupaten Madiun,2024,1,dokter_umum,142,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3519,Kabupaten Madiun,2024,1,dokter_spesialis,78,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3519,Kabupaten Madiun,2024,1,dokter_gigi,50,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3519,Kabupaten Madiun,2024,1,perawat,463,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3519,Kabupaten Madiun,2024,1,bidan,287,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3519,Kabupaten Madiun,2024,1,ahli_gizi,27,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3519,Kabupaten Madiun,2024,1,sanitarian,19,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3520,Kabupaten Magetan,2024,1,dokter_umum,126,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3520,Kabupaten Magetan,2024,1,dokter_spesialis,99,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3520,Kabupaten Magetan,2024,1,dokter_gigi,33,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3520,Kabupaten Magetan,2024,1,perawat,390,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3520,Kabupaten Magetan,2024,1,bidan,312,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3520,Kabupaten Magetan,2024,1,ahli_gizi,19,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3520,Kabupaten Magetan,2024,1,sanitarian,14,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3521,Kabupaten Ngawi,2024,1,dokter_umum,109,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3521,Kabupaten Ngawi,2024,1,dokter_spesialis,156,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3521,Kabupaten Ngawi,2024,1,dokter_gigi,60,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3521,Kabupaten Ngawi,2024,1,perawat,508,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3521,Kabupaten Ngawi,2024,1,bidan,451,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3521,Kabupaten Ngawi,2024,1,ahli_gizi,24,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3521,Kabupaten Ngawi,2024,1,sanitarian,29,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3522,Kabupaten Bojonegoro,2024,1,dokter_umum,281,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3522,Kabupaten Bojonegoro,2024,1,dokter_spesialis,200,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3522,Kabupaten Bojonegoro,2024,1,dokter_gigi,76,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3522,Kabupaten Bojonegoro,2024,1,perawat,976,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3522,Kabupaten Bojonegoro,2024,1,bidan,761,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3522,Kabupaten Bojonegoro,2024,1,ahli_gizi,28,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3522,Kabupaten Bojonegoro,2024,1,sanitarian,37,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3523,Kabupaten Tuban,2024,1,dokter_umum,199,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3523,Kabupaten Tuban,2024,1,dokter_spesialis,111,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3523,Kabupaten Tuban,2024,1,dokter_gigi,77,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3523,Kabupaten Tuban,2024,1,perawat,594,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3523,Kabupaten Tuban,2024,1,bidan,647,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3523,Kabupaten Tuban,2024,1,ahli_gizi,55,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3523,Kabupaten Tuban,2024,1,sanitarian,25,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3524,Kabupaten Lamongan,2024,1,dokter_umum,255,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3524,Kabupaten Lamongan,2024,1,dokter_spesialis,124,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3524,Kabupaten Lamongan,2024,1,dokter_gigi,88,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3524,Kabupaten Lamongan,2024,1,perawat,887,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3524,Kabupaten Lamongan,2024,1,bidan,802,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3524,Kabupaten Lamongan,2024,1,ahli_gizi,59,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3524,Kabupaten Lamongan,2024,1,sanitarian,36,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3525,Kabupaten Gresik,2024,1,dokter_umum,254,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3525,Kabupaten Gresik,2024,1,dokter_spesialis,102,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3525,Kabupaten Gresik,2024,1,dokter_gigi,90,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3525,Kabupaten Gresik,2024,1,perawat,759,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3525,Kabupaten Gresik,2024,1,bidan,549,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3525,Kabupaten Gresik,2024,1,ahli_gizi,35,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3525,Kabupaten Gresik,2024,1,sanitarian,32,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3526,Kabupaten Bangkalan,2024,1,dokter_umum,213,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3526,Kabupaten Bangkalan,2024,1,dokter_spesialis,76,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3526,Kabupaten Bangkalan,2024,1,dokter_gigi,52,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3526,Kabupaten Bangkalan,2024,1,perawat,543,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3526,Kabupaten Bangkalan,2024,1,bidan,416,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3526,Kabupaten Bangkalan,2024,1,ahli_gizi,44,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3526,Kabupaten Bangkalan,2024,1,sanitarian,33,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3527,Kabupaten Sampang,2024,1,dokter_umum,181,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3527,Kabupaten Sampang,2024,1,dokter_spesialis,163,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3527,Kabupaten Sampang,2024,1,dokter_gigi,56,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3527,Kabupaten Sampang,2024,1,perawat,449,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3527,Kabupaten Sampang,2024,1,bidan,387,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3527,Kabupaten Sampang,2024,1,ahli_gizi,34,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3527,Kabupaten Sampang,2024,1,sanitarian,33,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3528,Kabupaten Pamekasan,2024,1,dokter_umum,181,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3528,Kabupaten Pamekasan,2024,1,dokter_spesialis,103,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3528,Kabupaten Pamekasan,2024,1,dokter_gigi,42,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3528,Kabupaten Pamekasan,2024,1,perawat,537,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3528,Kabupaten Pamekasan,2024,1,bidan,499,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3528,Kabupaten Pamekasan,2024,1,ahli_gizi,25,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3528,Kabupaten Pamekasan,2024,1,sanitarian,33,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
