kode_puskesmas,nama,tipe_rawat,alamat,kode_bps,kecamatan,telepon,jumlah_tt,lat,lng,is_valid_coord,needs_geocoding,source_id,coverage_periode
PKM35010011,Puskesmas Pacitan Rawat Inap 11,rawat_inap,"Jl. Raya Kesehatan No. 11, Kabupaten Pacitan",3501,Kecamatan 11,031-8678856,12,-8.264528,111.159667,1,0,opendata_jatim,2024-OFFICIAL
PKM35010012,Puskesmas Pacitan Rawat Inap 12,rawat_inap,"Jl. Raya Kesehatan No. 12, Kabupaten Pacitan",3501,Kecamatan 12,031-8705397,21,-8.237591,111.112682,1,0,opendata_jatim,2024-OFFICIAL
PKM35010013,Puskesmas Pacitan 1,non_rawat_inap,"Jl. Desa Sehat No. 1, Kabupaten Pacitan",3501,Kecamatan 13,031-8793384,0,-8.253734,111.023229,1,0,opendata_jatim,2024-OFFICIAL
PKM35010014,Puskesmas Pacitan 2,non_rawat_inap,"Jl. Desa Sehat No. 2, Kabupaten Pacitan",3501,Kecamatan 14,031-8183667,0,-8.248036,111.058402,1,0,opendata_jatim,2024-OFFICIAL
PKM35010015,Puskesmas Pacitan 3,non_rawat_inap,"Jl. Desa Sehat No. 3, Kabupaten Pacitan",3501,Kecamatan 15,031-8498591,0,-8.147649,111.150737,1,0,opendata_jatim,2024-OFFICIAL
PKM35010016,Puskesmas Pacitan 4,non_rawat_inap,"Jl. Desa Sehat No. 4, Kabupaten Pacitan",3501,Kecamatan 16,031-8482554,0,-8.240024,111.11381,1,0,opendata_jatim,2024-OFFICIAL
PKM35010017,Puskesmas Pacitan 5,non_rawat_inap,"Jl. Desa Sehat No. 5, Kabupaten Pacitan",3501,Kecamatan 17,031-8802729,0,-8.258475,111.068943,1,0,opendata_jatim,2024-OFFICIAL
PKM35010018,Puskesmas Pacitan 6,non_rawat_inap,"Jl. Desa Sehat No. 6, Kabupaten Pacitan",3501,Kecamatan 18,031-8779514,0,-8.241784,111.161965,1,0,opendata_jatim,2024-OFFICIAL
PKM35010019,Puskesmas Pacitan 7,non_rawat_inap,"Jl. Desa Sehat No. 7, Kabupaten Pacitan",3501,Kecamatan 19,031-8660086,0,-8.273076,111.113697,1,0,opendata_jatim,2024-OFFICIAL
PKM35010020,Puskesmas Pacitan 8,non_rawat_inap,"Jl. Desa Sehat No. 8, Kabupaten Pacitan",3501,Kecamatan 20,031-8497887,0,-8.16784,111.038244,1,0,opendata_jatim,2024-OFFICIAL
PKM35010021,Puskesmas Pacitan 9,non_rawat_inap,"Jl. Desa Sehat No. 9, Kabupaten Pacitan",3501,Kecamatan 21,031-8821590,0,-8.241308,111.160163,1,0,opendata_jatim,2024-OFFICIAL
PKM35010022,Puskesmas Pacitan 10,non_rawat_inap,"Jl. Desa Sehat No. 10, Kabupaten Pacitan",3501,Kecamatan 22,031-8983794,0,-8.195388,111.121638,1,0,opendata_jatim,2024-OFFICIAL
PKM35010023,Puskesmas Pacitan 11,non_rawat_inap,"Jl. Desa Sehat No. 11, Kabupaten Pacitan",3501,Kecamatan 23,031-8961722,0,-8.16157,111.02105,1,0,opendata_jatim,2024-OFFICIAL
PKM35010024,Puskesmas Pacitan 12,non_rawat_inap,"Jl. Desa Sehat No. 12, Kabupaten Pacitan",3501,Kecamatan 24,031-8380746,0,-8.279364,111.062572,1,0,opendata_jatim,2024-OFFICIAL
PKM35020025,Puskesmas Ponorogo Rawat Inap 1,rawat_inap,"Jl. Raya Kesehatan No. 1, Kabupaten Ponorogo",3502,Kecamatan 1,031-8852787,28,-7.93791,111.528202,1,0,opendata_jatim,2024-OFFICIAL
PKM35020026,Puskesmas Ponorogo Rawat Inap 2,rawat_inap,"Jl. Raya Kesehatan No. 2, Kabupaten Ponorogo",3502,Kecamatan 2,031-8774079,22,-7.898152,111.48697,1,0,opendata_jatim,2024-OFFICIAL
PKM35020027,Puskesmas Ponorogo Rawat Inap 3,rawat_inap,"Jl. Raya Kesehatan No. 3, Kabupaten Ponorogo",3502,Kecamatan 3,031-8881177,17,-7.875084,111.424481,1,0,opendata_jatim,2024-OFFICIAL
PKM35020028,Puskesmas Ponorogo Rawat Inap 4,rawat_inap,"Jl. Raya Kesehatan No. 4, Kabupaten Ponorogo",3502,Kecamatan 4,031-8549245,28,-7.858681,111.424139,1,0,opendata_jatim,2024-OFFICIAL
PKM35020029,Puskesmas Ponorogo Rawat Inap 5,rawat_inap,"Jl. Raya Kesehatan No. 5, Kabupaten Ponorogo",3502,Kecamatan 5,031-8245051,17,-7.804848,111.446004,1,0,opendata_jatim,2024-OFFICIAL
PKM35020030,Puskesmas Ponorogo Rawat Inap 6,rawat_inap,"Jl. Raya Kesehatan No. 6, Kabupaten Ponorogo",3502,Kecamatan 6,031-8214975,11,-7.866976,111.396646,1,0,opendata_jatim,2024-OFFICIAL
PKM35020031,Puskesmas Ponorogo Rawat Inap 7,rawat_inap,"Jl. Raya Kesehatan No. 7, Kabupaten Ponorogo",3502,Kecamatan 7,031-8725380,23,-7.924045,111.407697,1,0,opendata_jatim,2024-OFFICIAL
PKM35020032,Puskesmas Ponorogo Rawat Inap 8,rawat_inap,"Jl. Raya Kesehatan No. 8, Kabupaten Ponorogo",3502,Kecamatan 8,031-8654816,24,-7.938336,111.443159,1,0,opendata_jatim,2024-OFFICIAL
PKM35020033,Puskesmas Ponorogo Rawat Inap 9,rawat_inap,"Jl. Raya Kesehatan No. 9, Kabupaten Ponorogo",3502,Kecamatan 9,031-8813328,10,-7.908274,111.470616,1,0,opendata_jatim,2024-OFFICIAL
PKM35020034,Puskesmas Ponorogo Rawat Inap 10,rawat_inap,"Jl. Raya Kesehatan No. 10, Kabupaten Ponorogo",3502,Kecamatan 10,031-8887352,27,-7.833185,111.491174,1,0,opendata_jatim,2024-OFFICIAL
PKM35020035,Puskesmas Ponorogo Rawat Inap 11,rawat_inap,"Jl. Raya Kesehatan No. 11, Kabupaten Ponorogo",3502,Kecamatan 11,031-8407757,13,-7.905808,111.484654,1,0,opendata_jatim,2024-OFFICIAL
PKM35020036,Puskesmas Ponorogo Rawat Inap 12,rawat_inap,"Jl. Raya Kesehatan No. 12, Kabupaten Ponorogo",3502,Kecamatan 12,031-8624902,18,-7.878938,111.454696,1,0,opendata_jatim,2024-OFFICIAL
PKM35020037,Puskesmas Ponorogo Rawat Inap 13,rawat_inap,"Jl. Raya Kesehatan No. 13, Kabupaten Ponorogo",3502,Kecamatan 13,031-8755674,13,-7.826586,111.463329,1,0,opendata_jatim,2024-OFFICIAL
PKM35020038,Puskesmas Ponorogo Rawat Inap 14,rawat_inap,"Jl. Raya Kesehatan No. 14, Kabupaten Ponorogo",3502,Kecamatan 14,031-8308573,29,-7.900749,111.484332,1,0,opendata_jatim,2024-OFFICIAL
PKM35020039,Puskesmas Ponorogo Rawat Inap 15,rawat_inap,"Jl. Raya Kesehatan No. 15, Kabupaten Ponorogo",3502,Kecamatan 15,031-8916449,27,-7.924046,111.504102,1,0,opendata_jatim,2024-OFFICIAL
PKM35020040,Puskesmas Ponorogo Rawat Inap 16,rawat_inap,"Jl. Raya Kesehatan No. 16, Kabupaten Ponorogo",3502,Kecamatan 16,031-8439902,29,-7.800911,111.529059,1,0,opendata_jatim,2024-OFFICIAL
PKM35020041,Puskesmas Ponorogo Rawat Inap 17,rawat_inap,"Jl. Raya Kesehatan No. 17, Kabupaten Ponorogo",3502,Kecamatan 17,031-8972064,21,-7.870323,111.399999,1,0,opendata_jatim,2024-OFFICIAL
PKM35020042,Puskesmas Ponorogo Rawat Inap 18,rawat_inap,"Jl. Raya Kesehatan No. 18, Kabupaten Ponorogo",3502,Kecamatan 18,031-8694916,17,-7.819416,111.420412,1,0,opendata_jatim,2024-OFFICIAL
PKM35020043,Puskesmas Ponorogo 1,non_rawat_inap,"Jl. Desa Sehat No. 1, Kabupaten Ponorogo",3502,Kecamatan 19,031-8609597,0,-7.796988,111.395805,1,0,opendata_jatim,2024-OFFICIAL
PKM35020044,Puskesmas Ponorogo 2,non_rawat_inap,"Jl. Desa Sehat No. 2, Kabupaten Ponorogo",3502,Kecamatan 20,031-8658582,0,-7.817936,111.538578,1,0,opendata_jatim,2024-OFFICIAL
PKM35020045,Puskesmas Ponorogo 3,non_rawat_inap,"Jl. Desa Sehat No. 3, Kabupaten Ponorogo",3502,Kecamatan 21,031-8598369,0,-7.825966,111.402643,1,0,opendata_jatim,2024-OFFICIAL
PKM35020046,Puskesmas Ponorogo 4,non_rawat_inap,"Jl. Desa Sehat No. 4, Kabupaten Ponorogo",3502,Kecamatan 22,031-8653306,0,-7.797004,111.40852,1,0,opendata_jatim,2024-OFFICIAL
PKM35020047,Puskesmas Ponorogo 5,non_rawat_inap,"Jl. Desa Sehat No. 5, Kabupaten Ponorogo",3502,Kecamatan 23,031-8322086,0,-7.808911,111.449802,1,0,opendata_jatim,2024-OFFICIAL
PKM35020048,Puskesmas Ponorogo 6,non_rawat_inap,"Jl. Desa Sehat No. 6, Kabupaten Ponorogo",3502,Kecamatan 24,031-8823378,0,-7.799874,111.502942,1,0,opendata_jatim,2024-OFFICIAL
PKM35020049,Puskesmas Ponorogo 7,non_rawat_inap,"Jl. Desa Sehat No. 7, Kabupaten Ponorogo",3502,Kecamatan 25,031-8804314,0,-7.916316,111.431975,1,0,opendata_jatim,2024-OFFICIAL
PKM35020050,Puskesmas Ponorogo 8,non_rawat_inap,"Jl. Desa Sehat No. 8, Kabupaten Ponorogo",3502,Kecamatan 26,031-8642717,0,-7.84452,111.452196,1,0,opendata_jatim,2024-OFFICIAL
PKM35020051,Puskesmas Ponorogo 9,non_rawat_inap,"Jl. Desa Sehat No. 9, Kabupaten Ponorogo",3502,Kecamatan 27,031-8167136,0,-7.876262,111.421765,1,0,opendata_jatim,2024-OFFICIAL
PKM35020052,Puskesmas Ponorogo 10,non_rawat_inap,"Jl. Desa Sehat No. 10, Kabupaten Ponorogo",3502,Kecamatan 28,031-8341292,0,-7.894406,111.476229,1,0,opendata_jatim,2024-OFFICIAL
PKM35020053,Puskesmas Ponorogo 11,non_rawat_inap,"Jl. Desa Sehat No. 11, Kabupaten Ponorogo",3502,Kecamatan 29,031-8842225,0,-7.85435,111.383251,1,0,opendata_jatim,2024-OFFICIAL
PKM35020054,Puskesmas Ponorogo 12,non_rawat_inap,"Jl. Desa Sehat No. 12, Kabupaten Ponorogo",3502,Kecamatan 30,031-8132938,0,-7.847524,111.418731,1,0,opendata_jatim,2024-OFFICIAL
PKM35020055,Puskesmas Ponorogo 13,non_rawat_inap,"Jl. Desa Sehat No. 13, Kabupaten Ponorogo",3502,Kecamatan 31,031-8349565,0,-7.810958,111.393437,1,0,opendata_jatim,2024-OFFICIAL
PKM35030056,Puskesmas Trenggalek Rawat Inap 1,rawat_inap,"Jl. Raya Kesehatan No. 1, Kabupaten Trenggalek",3503,Kecamatan 1,031-8238739,27,-8.085444,111.714366,1,0,opendata_jatim,2024-OFFICIAL
PKM35030057,Puskesmas Trenggalek Rawat Inap 2,rawat_inap,"Jl. Raya Kesehatan No. 2, Kabupaten Trenggalek",3503,Kecamatan 2,031-8595631,28,-8.014264,111.777881,1,0,opendata_jatim,2024-OFFICIAL
PKM35030058,Puskesmas Trenggalek Rawat Inap 3,rawat_inap,"Jl. Raya Kesehatan No. 3, Kabupaten Trenggalek",3503,Kecamatan 3,031-8299659,23,-8.09112,111.712376,1,0,opendata_jatim,2024-OFFICIAL
PKM35030059,Puskesmas Trenggalek Rawat Inap 4,rawat_inap,"Jl. Raya Kesehatan No. 4, Kabupaten Trenggalek",3503,Kecamatan 4,031-8544154,21,-8.114908,111.742137,1,0,opendata_jatim,2024-OFFICIAL
PKM35030060,Puskesmas Trenggalek Rawat Inap 5,rawat_inap,"Jl. Raya Kesehatan No. 5, Kabupaten Trenggalek",3503,Kecamatan 5,031-8806073,11,-8.064224,111.774914,1,0,opendata_jatim,2024-OFFICIAL
PKM35030061,Puskesmas Trenggalek Rawat Inap 6,rawat_inap,"Jl. Raya Kesehatan No. 6, Kabupaten Trenggalek",3503,Kecamatan 6,031-8522179,11,-8.025447,111.740089,1,0,opendata_jatim,2024-OFFICIAL
PKM35030062,Puskesmas Trenggalek Rawat Inap 7,rawat_inap,"Jl. Raya Kesehatan No. 7, Kabupaten Trenggalek",3503,Kecamatan 7,031-8360735,13,-8.013486,111.764795,1,0,opendata_jatim,2024-OFFICIAL
PKM35030063,Puskesmas Trenggalek Rawat Inap 8,rawat_inap,"Jl. Raya Kesehatan No. 8, Kabupaten Trenggalek",3503,Kecamatan 8,031-8542374,14,-8.099346,111.722506,1,0,opendata_jatim,2024-OFFICIAL
PKM35030064,Puskesmas Trenggalek Rawat Inap 9,rawat_inap,"Jl. Raya Kesehatan No. 9, Kabupaten Trenggalek",3503,Kecamatan 9,031-8564656,12,-8.100642,111.71072,1,0,opendata_jatim,2024-OFFICIAL
PKM35030065,Puskesmas Trenggalek Rawat Inap 10,rawat_inap,"Jl. Raya Kesehatan No. 10, Kabupaten Trenggalek",3503,Kecamatan 10,031-8153045,13,-8.000716,111.773655,1,0,opendata_jatim,2024-OFFICIAL
PKM35030066,Puskesmas Trenggalek Rawat Inap 11,rawat_inap,"Jl. Raya Kesehatan No. 11, Kabupaten Trenggalek",3503,Kecamatan 11,031-8197793,10,-8.025657,111.723194,1,0,opendata_jatim,2024-OFFICIAL
PKM35030067,Puskesmas Trenggalek Rawat Inap 12,rawat_inap,"Jl. Raya Kesehatan No. 12, Kabupaten Trenggalek",3503,Kecamatan 12,031-8526156,15,-7.981781,111.772491,1,0,opendata_jatim,2024-OFFICIAL
PKM35030068,Puskesmas Trenggalek Rawat Inap 13,rawat_inap,"Jl. Raya Kesehatan No. 13, Kabupaten Trenggalek",3503,Kecamatan 13,031-8161483,22,-8.052297,111.6709,1,0,opendata_jatim,2024-OFFICIAL
PKM35030069,Puskesmas Trenggalek Rawat Inap 14,rawat_inap,"Jl. Raya Kesehatan No. 14, Kabupaten Trenggalek",3503,Kecamatan 14,031-8378085,22,-8.103658,111.637045,1,0,opendata_jatim,2024-OFFICIAL
PKM35030070,Puskesmas Trenggalek Rawat Inap 15,rawat_inap,"Jl. Raya Kesehatan No. 15, Kabupaten Trenggalek",3503,Kecamatan 15,031-8543555,19,-7.981757,111.762321,1,0,opendata_jatim,2024-OFFICIAL
PKM35030071,Puskesmas Trenggalek 1,non_rawat_inap,"Jl. Desa Sehat No. 1, Kabupaten Trenggalek",3503,Kecamatan 16,031-8921414,0,-8.018545,111.753581,1,0,opendata_jatim,2024-OFFICIAL
PKM35030072,Puskesmas Trenggalek 2,non_rawat_inap,"Jl. Desa Sehat No. 2, Kabupaten Trenggalek",3503,Kecamatan 17,031-8262316,0,-8.041077,111.751645,1,0,opendata_jatim,2024-OFFICIAL
PKM35030073,Puskesmas Trenggalek 3,non_rawat_inap,"Jl. Desa Sehat No. 3, Kabupaten Trenggalek",3503,Kecamatan 18,031-8161324,0,-8.099616,111.671532,1,0,opendata_jatim,2024-OFFICIAL
PKM35030074,Puskesmas Trenggalek 4,non_rawat_inap,"Jl. Desa Sehat No. 4, Kabupaten Trenggalek",3503,Kecamatan 19,031-8884309,0,-8.037331,111.723451,1,0,opendata_jatim,2024-OFFICIAL
PKM35030075,Puskesmas Trenggalek 5,non_rawat_inap,"Jl. Desa Sehat No. 5, Kabupaten Trenggalek",3503,Kecamatan 20,031-8599948,0,-8.079823,111.644723,1,0,opendata_jatim,2024-OFFICIAL
PKM35030076,Puskesmas Trenggalek 6,non_rawat_inap,"Jl. Desa Sehat No. 6, Kabupaten Trenggalek",3503,Kecamatan 21,031-8265080,0,-8.049544,111.773135,1,0,opendata_jatim,2024-OFFICIAL
PKM35030077,Puskesmas Trenggalek 7,non_rawat_inap,"Jl. Desa Sehat No. 7, Kabupaten Trenggalek",3503,Kecamatan 22,031-8992697,0,-8.120899,111.717953,1,0,opendata_jatim,2024-OFFICIAL
PKM35040078,Puskesmas Tulungagung Rawat Inap 1,rawat_inap,"Jl. Raya Kesehatan No. 1, Kabupaten Tulungagung",3504,Kecamatan 1,031-8523389,17,-8.116968,111.915206,1,0,opendata_jatim,2024-OFFICIAL
PKM35040079,Puskesmas Tulungagung Rawat Inap 2,rawat_inap,"Jl. Raya Kesehatan No. 2, Kabupaten Tulungagung",3504,Kecamatan 2,031-8707040,17,-8.127518,111.962446,1,0,opendata_jatim,2024-OFFICIAL
PKM35040080,Puskesmas Tulungagung Rawat Inap 3,rawat_inap,"Jl. Raya Kesehatan No. 3, Kabupaten Tulungagung",3504,Kecamatan 3,031-8789305,23,-8.051577,111.919101,1,0,opendata_jatim,2024-OFFICIAL
PKM35040081,Puskesmas Tulungagung Rawat Inap 4,rawat_inap,"Jl. Raya Kesehatan No. 4, Kabupaten Tulungagung",3504,Kecamatan 4,031-8314181,18,-8.053312,111.903645,1,0,opendata_jatim,2024-OFFICIAL
PKM35040082,Puskesmas Tulungagung Rawat Inap 5,rawat_inap,"Jl. Raya Kesehatan No. 5, Kabupaten Tulungagung",3504,Kecamatan 5,031-8515011,18,-8.039544,111.870269,1,0,opendata_jatim,2024-OFFICIAL
PKM35040083,Puskesmas Tulungagung Rawat Inap 6,rawat_inap,"Jl. Raya Kesehatan No. 6, Kabupaten Tulungagung",3504,Kecamatan 6,031-8431535,24,-8.125759,111.92328,1,0,opendata_jatim,2024-OFFICIAL
PKM35040084,Puskesmas Tulungagung Rawat Inap 7,rawat_inap,"Jl. Raya Kesehatan No. 7, Kabupaten Tulungagung",3504,Kecamatan 7,031-8580547,10,-7.998057,111.969717,1,0,opendata_jatim,2024-OFFICIAL
PKM35040085,Puskesmas Tulungagung Rawat Inap 8,rawat_inap,"Jl. Raya Kesehatan No. 8, Kabupaten Tulungagung",3504,Kecamatan 8,031-8176819,13,-8.047315,111.910079,1,0,opendata_jatim,2024-OFFICIAL
PKM35040086,Puskesmas Tulungagung Rawat Inap 9,rawat_inap,"Jl. Raya Kesehatan No. 9, Kabupaten Tulungagung",3504,Kecamatan 9,031-8465962,14,-8.060678,111.900942,1,0,opendata_jatim,2024-OFFICIAL
PKM35040087,Puskesmas Tulungagung Rawat Inap 10,rawat_inap,"Jl. Raya Kesehatan No. 10, Kabupaten Tulungagung",3504,Kecamatan 10,031-8398830,21,-8.005762,111.960683,1,0,opendata_jatim,2024-OFFICIAL
PKM35040088,Puskesmas Tulungagung Rawat Inap 11,rawat_inap,"Jl. Raya Kesehatan No. 11, Kabupaten Tulungagung",3504,Kecamatan 11,031-8741390,19,-8.121461,111.953399,1,0,opendata_jatim,2024-OFFICIAL
PKM35040089,Puskesmas Tulungagung Rawat Inap 12,rawat_inap,"Jl. Raya Kesehatan No. 12, Kabupaten Tulungagung",3504,Kecamatan 12,031-8108203,26,-7.989283,111.949136,1,0,opendata_jatim,2024-OFFICIAL
PKM35040090,Puskesmas Tulungagung Rawat Inap 13,rawat_inap,"Jl. Raya Kesehatan No. 13, Kabupaten Tulungagung",3504,Kecamatan 13,031-8240814,13,-8.039842,111.908736,1,0,opendata_jatim,2024-OFFICIAL
PKM35040091,Puskesmas Tulungagung Rawat Inap 14,rawat_inap,"Jl. Raya Kesehatan No. 14, Kabupaten Tulungagung",3504,Kecamatan 14,031-8262998,27,-8.104385,111.962354,1,0,opendata_jatim,2024-OFFICIAL
PKM35040092,Puskesmas Tulungagung Rawat Inap 15,rawat_inap,"Jl. Raya Kesehatan No. 15, Kabupaten Tulungagung",3504,Kecamatan 15,031-8313487,20,-8.103124,111.916773,1,0,opendata_jatim,2024-OFFICIAL
PKM35040093,Puskesmas Tulungagung Rawat Inap 16,rawat_inap,"Jl. Raya Kesehatan No. 16, Kabupaten Tulungagung",3504,Kecamatan 16,031-8612262,26,-8.0367,111.956466,1,0,opendata_jatim,2024-OFFICIAL
PKM35040094,Puskesmas Tulungagung Rawat Inap 17,rawat_inap,"Jl. Raya Kesehatan No. 17, Kabupaten Tulungagung",3504,Kecamatan 17,031-8196781,11,-8.106521,111.965305,1,0,opendata_jatim,2024-OFFICIAL
PKM35040095,Puskesmas Tulungagung Rawat Inap 18,rawat_inap,"Jl. Raya Kesehatan No. 18, Kabupaten Tulungagung",3504,Kecamatan 18,031-8103717,11,-8.045214,111.952696,1,0,opendata_jatim,2024-OFFICIAL
PKM35040096,Puskesmas Tulungagung Rawat Inap 19,rawat_inap,"Jl. Raya Kesehatan No. 19, Kabupaten Tulungagung",3504,Kecamatan 19,031-8269430,18,-8.093331,111.840931,1,0,opendata_jatim,2024-OFFICIAL
PKM35040097,Puskesmas Tulungagung 1,non_rawat_inap,"Jl. Desa Sehat No. 1, Kabupaten Tulungagung",3504,Kecamatan 20,031-8548462,0,-8.028103,111.908269,1,0,opendata_jatim,2024-OFFICIAL
PKM35040098,Puskesmas Tulungagung 2,non_rawat_inap,"Jl. Desa Sehat No. 2, Kabupaten Tulungagung",3504,Kecamatan 21,031-8824586,0,-8.056955,111.8379,1,0,opendata_jatim,2024-OFFICIAL
PKM35040099,Puskesmas Tulungagung 3,non_rawat_inap,"Jl. Desa Sehat No. 3, Kabupaten Tulungagung",3504,Kecamatan 22,031-8975136,0,-8.002071,111.907294,1,0,opendata_jatim,2024-OFFICIAL
PKM35040100,Puskesmas Tulungagung 4,non_rawat_inap,"Jl. Desa Sehat No. 4, Kabupaten Tulungagung",3504,Kecamatan 23,031-8550664,0,-8.087625,111.908404,1,0,opendata_jatim,2024-OFFICIAL
PKM35040101,Puskesmas Tulungagung 5,non_rawat_inap,"Jl. Desa Sehat No. 5, Kabupaten Tulungagung",3504,Kecamatan 24,031-8934794,0,-8.126309,111.869321,1,0,opendata_jatim,2024-OFFICIAL
PKM35040102,Puskesmas Tulungagung 6,non_rawat_inap,"Jl. Desa Sehat No. 6, Kabupaten Tulungagung",3504,Kecamatan 25,031-8475190,0,-7.991149,111.826383,1,0,opendata_jatim,2024-OFFICIAL
PKM35040103,Puskesmas Tulungagung 7,non_rawat_inap,"Jl. Desa Sehat No. 7, Kabupaten Tulungagung",3504,Kecamatan 26,031-8207786,0,-8.113088,111.859925,1,0,opendata_jatim,2024-OFFICIAL
PKM35040104,Puskesmas Tulungagung 8,non_rawat_inap,"Jl. Desa Sehat No. 8, Kabupaten Tulungagung",3504,Kecamatan 27,031-8526117,0,-8.090111,111.909581,1,0,opendata_jatim,2024-OFFICIAL
PKM35040105,Puskesmas Tulungagung 9,non_rawat_inap,"Jl. Desa Sehat No. 9, Kabupaten Tulungagung",3504,Kecamatan 28,031-8348237,0,-7.990886,111.939916,1,0,opendata_jatim,2024-OFFICIAL
PKM35040106,Puskesmas Tulungagung 10,non_rawat_inap,"Jl. Desa Sehat No. 10, Kabupaten Tulungagung",3504,Kecamatan 29,031-8950155,0,-8.008363,111.976193,1,0,opendata_jatim,2024-OFFICIAL
PKM35040107,Puskesmas Tulungagung 11,non_rawat_inap,"Jl. Desa Sehat No. 11, Kabupaten Tulungagung",3504,Kecamatan 30,031-8288073,0,-8.118372,111.885967,1,0,opendata_jatim,2024-OFFICIAL
PKM35040108,Puskesmas Tulungagung 12,non_rawat_inap,"Jl. Desa Sehat No. 12, Kabupaten Tulungagung",3504,Kecamatan 31,031-8531712,0,-8.02885,111.87315,1,0,opendata_jatim,2024-OFFICIAL
PKM35040109,Puskesmas Tulungagung 13,non_rawat_inap,"Jl. Desa Sehat No. 13, Kabupaten Tulungagung",3504,Kecamatan 32,031-8950132,0,-8.018342,111.95825,1,0,opendata_jatim,2024-OFFICIAL
PKM35050110,Puskesmas Blitar Rawat Inap 1,rawat_inap,"Jl. Raya Kesehatan No. 1, Kabupaten Blitar",3505,Kecamatan 1,031-8501124,13,-8.138593,112.113572,1,0,opendata_jatim,2024-OFFICIAL
PKM35050111,Puskesmas Blitar Rawat Inap 2,rawat_inap,"Jl. Raya Kesehatan No. 2, Kabupaten Blitar",3505,Kecamatan 2,031-8309267,17,-8.038753,112.225475,1,0,opendata_jatim,2024-OFFICIAL
PKM35050112,Puskesmas Blitar Rawat Inap 3,rawat_inap,"Jl. Raya Kesehatan No. 3, Kabupaten Blitar",3505,Kecamatan 3,031-8960394,19,-8.047646,112.161749,1,0,opendata_jatim,2024-OFFICIAL
PKM35050113,Puskesmas Blitar Rawat Inap 4,rawat_inap,"Jl. Raya Kesehatan No. 4, Kabupaten Blitar",3505,Kecamatan 4,031-8792094,10,-8.051045,112.124515,1,0,opendata_jatim,2024-OFFICIAL
PKM35050114,Puskesmas Blitar Rawat Inap 5,rawat_inap,"Jl. Raya Kesehatan No. 5, Kabupaten Blitar",3505,Kecamatan 5,031-8910891,12,-8.147399,112.140622,1,0,opendata_jatim,2024-OFFICIAL
PKM35050115,Puskesmas Blitar Rawat Inap 6,rawat_inap,"Jl. Raya Kesehatan No. 6, Kabupaten Blitar",3505,Kecamatan 6,031-8812526,22,-8.13364,112.190737,1,0,opendata_jatim,2024-OFFICIAL
PKM35050116,Puskesmas Blitar Rawat Inap 7,rawat_inap,"Jl. Raya Kesehatan No. 7, Kabupaten Blitar",3505,Kecamatan 7,031-8220944,10,-8.021316,112.173895,1,0,opendata_jatim,2024-OFFICIAL
