kode_bps,nama_wilayah,tahun,triwulan,tipe_pelayanan,nama_penyakit,kode_icd10,jumlah_pasien,status_kasus,sumber_data,coverage_periode
3501,Kabupaten Pacitan,2024,Q2,rawat_inap,Demam Berdarah Dengue (DBD),A90,207,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q2,rawat_inap,Tuberkulosis Paru (TB),A15,174,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q2,rawat_jalan,Diare dan Gastroenteritis,A09,555,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q2,rawat_jalan,Hipertensi Esensial,I10,709,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q2,rawat_jalan,Diabetes Melitus Tipe 2,E11,612,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q2,rawat_inap,Pneumonia,J18,108,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q2,rawat_jalan,Demam Tifoid,A01,132,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q2,rawat_inap,Penyakit Jantung Iskemik,I25,160,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q2,rawat_jalan,Gastritis dan Duodenitis,K29,413,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q3,rawat_jalan,Infeksi Saluran Pernapasan Akut (ISPA),J06,917,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q3,rawat_inap,Demam Berdarah Dengue (DBD),A90,92,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q3,rawat_inap,Tuberkulosis Paru (TB),A15,103,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q3,rawat_jalan,Diare dan Gastroenteritis,A09,321,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q3,rawat_jalan,Hipertensi Esensial,I10,677,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q3,rawat_jalan,Diabetes Melitus Tipe 2,E11,609,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q3,rawat_inap,Pneumonia,J18,101,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q3,rawat_jalan,Demam Tifoid,A01,118,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q3,rawat_inap,Penyakit Jantung Iskemik,I25,233,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q3,rawat_jalan,Gastritis dan Duodenitis,K29,460,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q4,rawat_jalan,Infeksi Saluran Pernapasan Akut (ISPA),J06,958,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q4,rawat_inap,Demam Berdarah Dengue (DBD),A90,93,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q4,rawat_inap,Tuberkulosis Paru (TB),A15,106,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q4,rawat_jalan,Diare dan Gastroenteritis,A09,291,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q4,rawat_jalan,Hipertensi Esensial,I10,948,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q4,rawat_jalan,Diabetes Melitus Tipe 2,E11,302,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q4,rawat_inap,Pneumonia,J18,83,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q4,rawat_jalan,Demam Tifoid,A01,147,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q4,rawat_inap,Penyakit Jantung Iskemik,I25,215,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q4,rawat_jalan,Gastritis dan Duodenitis,K29,255,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q1,rawat_jalan,Infeksi Saluran Pernapasan Akut (ISPA),J06,1891,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q1,rawat_inap,Demam Berdarah Dengue (DBD),A90,275,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q1,rawat_inap,Tuberkulosis Paru (TB),A15,312,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q1,rawat_jalan,Diare dan Gastroenteritis,A09,510,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q1,rawat_jalan,Hipertensi Esensial,I10,975,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q1,rawat_jalan,Diabetes Melitus Tipe 2,E11,1049,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q1,rawat_inap,Pneumonia,J18,333,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q1,rawat_jalan,Demam Tifoid,A01,260,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q1,rawat_inap,Penyakit Jantung Iskemik,I25,243,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q1,rawat_jalan,Gastritis dan Duodenitis,K29,364,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q2,rawat_jalan,Infeksi Saluran Pernapasan Akut (ISPA),J06,987,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q2,rawat_inap,Demam Berdarah Dengue (DBD),A90,308,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q2,rawat_inap,Tuberkulosis Paru (TB),A15,269,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q2,rawat_jalan,Diare dan Gastroenteritis,A09,765,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q2,rawat_jalan,Hipertensi Esensial,I10,1035,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q2,rawat_jalan,Diabetes Melitus Tipe 2,E11,543,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q2,rawat_inap,Pneumonia,J18,236,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q2,rawat_jalan,Demam Tifoid,A01,291,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q2,rawat_inap,Penyakit Jantung Iskemik,I25,242,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q2,rawat_jalan,Gastritis dan Duodenitis,K29,845,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q3,rawat_jalan,Infeksi Saluran Pernapasan Akut (ISPA),J06,1437,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q3,rawat_inap,Demam Berdarah Dengue (DBD),A90,149,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q3,rawat_inap,Tuberkulosis Paru (TB),A15,415,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q3,rawat_jalan,Diare dan Gastroenteritis,A09,1030,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q3,rawat_jalan,Hipertensi Esensial,I10,1078,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q3,rawat_jalan,Diabetes Melitus Tipe 2,E11,1131,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q3,rawat_inap,Pneumonia,J18,137,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q3,rawat_jalan,Demam Tifoid,A01,454,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q3,rawat_inap,Penyakit Jantung Iskemik,I25,191,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q3,rawat_jalan,Gastritis dan Duodenitis,K29,788,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q4,rawat_jalan,Infeksi Saluran Pernapasan Akut (ISPA),J06,1540,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q4,rawat_inap,Demam Berdarah Dengue (DBD),A90,555,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q4,rawat_inap,Tuberkulosis Paru (TB),A15,196,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q4,rawat_jalan,Diare dan Gastroenteritis,A09,819,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q4,rawat_jalan,Hipertensi Esensial,I10,1657,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q4,rawat_jalan,Diabetes Melitus Tipe 2,E11,522,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q4,rawat_inap,Pneumonia,J18,155,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q4,rawat_jalan,Demam Tifoid,A01,350,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q4,rawat_inap,Penyakit Jantung Iskemik,I25,181,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Q4,rawat_jalan,Gastritis dan Duodenitis,K29,363,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q1,rawat_jalan,Infeksi Saluran Pernapasan Akut (ISPA),J06,601,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q1,rawat_inap,Demam Berdarah Dengue (DBD),A90,225,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q1,rawat_inap,Tuberkulosis Paru (TB),A15,240,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q1,rawat_jalan,Diare dan Gastroenteritis,A09,533,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q1,rawat_jalan,Hipertensi Esensial,I10,1003,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q1,rawat_jalan,Diabetes Melitus Tipe 2,E11,345,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q1,rawat_inap,Pneumonia,J18,105,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q1,rawat_jalan,Demam Tifoid,A01,271,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q1,rawat_inap,Penyakit Jantung Iskemik,I25,144,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q1,rawat_jalan,Gastritis dan Duodenitis,K29,262,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q2,rawat_jalan,Infeksi Saluran Pernapasan Akut (ISPA),J06,642,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q2,rawat_inap,Demam Berdarah Dengue (DBD),A90,325,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q2,rawat_inap,Tuberkulosis Paru (TB),A15,320,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q2,rawat_jalan,Diare dan Gastroenteritis,A09,549,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q2,rawat_jalan,Hipertensi Esensial,I10,519,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q2,rawat_jalan,Diabetes Melitus Tipe 2,E11,438,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q2,rawat_inap,Pneumonia,J18,203,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q2,rawat_jalan,Demam Tifoid,A01,321,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q2,rawat_inap,Penyakit Jantung Iskemik,I25,155,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q2,rawat_jalan,Gastritis dan Duodenitis,K29,446,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q3,rawat_jalan,Infeksi Saluran Pernapasan Akut (ISPA),J06,620,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q3,rawat_inap,Demam Berdarah Dengue (DBD),A90,289,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q3,rawat_inap,Tuberkulosis Paru (TB),A15,268,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q3,rawat_jalan,Diare dan Gastroenteritis,A09,551,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q3,rawat_jalan,Hipertensi Esensial,I10,1149,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q3,rawat_jalan,Diabetes Melitus Tipe 2,E11,459,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q3,rawat_inap,Pneumonia,J18,200,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q3,rawat_jalan,Demam Tifoid,A01,250,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q3,rawat_inap,Penyakit Jantung Iskemik,I25,243,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q3,rawat_jalan,Gastritis dan Duodenitis,K29,286,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q4,rawat_jalan,Infeksi Saluran Pernapasan Akut (ISPA),J06,988,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q4,rawat_inap,Demam Berdarah Dengue (DBD),A90,315,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q4,rawat_inap,Tuberkulosis Paru (TB),A15,133,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q4,rawat_jalan,Diare dan Gastroenteritis,A09,579,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q4,rawat_jalan,Hipertensi Esensial,I10,530,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q4,rawat_jalan,Diabetes Melitus Tipe 2,E11,561,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q4,rawat_inap,Pneumonia,J18,247,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q4,rawat_jalan,Demam Tifoid,A01,289,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q4,rawat_inap,Penyakit Jantung Iskemik,I25,221,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Q4,rawat_jalan,Gastritis dan Duodenitis,K29,609,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q1,rawat_jalan,Infeksi Saluran Pernapasan Akut (ISPA),J06,1793,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q1,rawat_inap,Demam Berdarah Dengue (DBD),A90,416,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q1,rawat_inap,Tuberkulosis Paru (TB),A15,254,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q1,rawat_jalan,Diare dan Gastroenteritis,A09,1111,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q1,rawat_jalan,Hipertensi Esensial,I10,1451,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q1,rawat_jalan,Diabetes Melitus Tipe 2,E11,896,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q1,rawat_inap,Pneumonia,J18,225,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q1,rawat_jalan,Demam Tifoid,A01,270,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q1,rawat_inap,Penyakit Jantung Iskemik,I25,227,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q1,rawat_jalan,Gastritis dan Duodenitis,K29,748,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q2,rawat_jalan,Infeksi Saluran Pernapasan Akut (ISPA),J06,1587,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q2,rawat_inap,Demam Berdarah Dengue (DBD),A90,547,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q2,rawat_inap,Tuberkulosis Paru (TB),A15,282,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q2,rawat_jalan,Diare dan Gastroenteritis,A09,735,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q2,rawat_jalan,Hipertensi Esensial,I10,1440,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q2,rawat_jalan,Diabetes Melitus Tipe 2,E11,701,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q2,rawat_inap,Pneumonia,J18,374,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q2,rawat_jalan,Demam Tifoid,A01,429,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q2,rawat_inap,Penyakit Jantung Iskemik,I25,263,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q2,rawat_jalan,Gastritis dan Duodenitis,K29,681,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q3,rawat_jalan,Infeksi Saluran Pernapasan Akut (ISPA),J06,1987,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q3,rawat_inap,Demam Berdarah Dengue (DBD),A90,634,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q3,rawat_inap,Tuberkulosis Paru (TB),A15,378,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q3,rawat_jalan,Diare dan Gastroenteritis,A09,1114,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q3,rawat_jalan,Hipertensi Esensial,I10,1743,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q3,rawat_jalan,Diabetes Melitus Tipe 2,E11,797,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q3,rawat_inap,Pneumonia,J18,237,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q3,rawat_jalan,Demam Tifoid,A01,373,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q3,rawat_inap,Penyakit Jantung Iskemik,I25,181,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q3,rawat_jalan,Gastritis dan Duodenitis,K29,741,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q4,rawat_jalan,Infeksi Saluran Pernapasan Akut (ISPA),J06,1607,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q4,rawat_inap,Demam Berdarah Dengue (DBD),A90,553,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q4,rawat_inap,Tuberkulosis Paru (TB),A15,240,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q4,rawat_jalan,Diare dan Gastroenteritis,A09,1191,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q4,rawat_jalan,Hipertensi Esensial,I10,1661,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Q4,rawat_jalan,Diabetes Melitus Tipe 2,E11,971,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
