kode_bps,nama_wilayah,kode_icd10,nama_penyakit,periode_bulan,kasus_bulan_ini,rata_rata_3bln,delta_persen,status_surveillance
3512,Kabupaten Situbondo,A27,Leptospirosis,2026-08,3,2.6,15.4,normal
3513,Kabupaten Probolinggo,A90,Demam Berdarah Dengue (DBD),2026-08,70,69.3,1.0,normal
3513,Kabupaten Probolinggo,A09,Diare dan Gastroenteritis,2026-08,95,75.9,25.2,waspada
3513,Kabupaten Probolinggo,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,36,38.0,-5.3,normal
3513,Kabupaten Probolinggo,A27,Leptospirosis,2026-08,6,5.9,1.7,normal
3514,Kabupaten Pasuruan,A90,Demam Berdarah Dengue (DBD),2026-08,17,22.5,-24.4,normal
3514,Kabupaten Pasuruan,A09,Diare dan Gastroenteritis,2026-08,10,12.4,-19.4,normal
3514,Kabupaten Pasuruan,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,34,30.5,11.5,normal
3514,Kabupaten Pasuruan,A27,Leptospirosis,2026-08,1,0.9,11.1,normal
3515,Kabupaten Sidoarjo,A90,Demam Berdarah Dengue (DBD),2026-08,73,43.1,69.4,perhatian
3515,Kabupaten Sidoarjo,A09,Diare dan Gastroenteritis,2026-08,50,63.8,-21.6,normal
3515,Kabupaten Sidoarjo,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,62,62.8,-1.3,normal
3515,Kabupaten Sidoarjo,A27,Leptospirosis,2026-08,5,6.1,-18.0,normal
3516,Kabupaten Mojokerto,A90,Demam Berdarah Dengue (DBD),2026-08,58,61.2,-5.2,normal
3516,Kabupaten Mojokerto,A09,Diare dan Gastroenteritis,2026-08,22,17.1,28.7,waspada
3516,Kabupaten Mojokerto,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,21,18.1,16.0,normal
3516,Kabupaten Mojokerto,A27,Leptospirosis,2026-08,1,1.8,-44.4,normal
3517,Kabupaten Jombang,A90,Demam Berdarah Dengue (DBD),2026-08,46,57.4,-19.9,normal
3517,Kabupaten Jombang,A09,Diare dan Gastroenteritis,2026-08,78,62.1,25.6,waspada
3517,Kabupaten Jombang,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,90,74.1,21.5,waspada
3517,Kabupaten Jombang,A27,Leptospirosis,2026-08,2,1.6,25.0,waspada
3518,Kabupaten Nganjuk,A90,Demam Berdarah Dengue (DBD),2026-08,16,13.1,22.1,waspada
3518,Kabupaten Nganjuk,A09,Diare dan Gastroenteritis,2026-08,34,34.7,-2.0,normal
3518,Kabupaten Nganjuk,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,53,42.4,25.0,waspada
3518,Kabupaten Nganjuk,A27,Leptospirosis,2026-08,4,2.9,37.9,waspada
3519,Kabupaten Madiun,A90,Demam Berdarah Dengue (DBD),2026-08,59,50.3,17.3,normal
3519,Kabupaten Madiun,A09,Diare dan Gastroenteritis,2026-08,57,44.6,27.8,waspada
3519,Kabupaten Madiun,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,55,62.1,-11.4,normal
3519,Kabupaten Madiun,A27,Leptospirosis,2026-08,1,1.0,0.0,normal
3520,Kabupaten Magetan,A90,Demam Berdarah Dengue (DBD),2026-08,43,41.1,4.6,normal
3520,Kabupaten Magetan,A09,Diare dan Gastroenteritis,2026-08,88,86.4,1.9,normal
3520,Kabupaten Magetan,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,15,20.1,-25.4,normal
3520,Kabupaten Magetan,A27,Leptospirosis,2026-08,2,2.5,-20.0,normal
3521,Kabupaten Ngawi,A90,Demam Berdarah Dengue (DBD),2026-08,49,38.5,27.3,waspada
3521,Kabupaten Ngawi,A09,Diare dan Gastroenteritis,2026-08,31,42.3,-26.7,normal
3521,Kabupaten Ngawi,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,20,19.4,3.1,normal
3521,Kabupaten Ngawi,A27,Leptospirosis,2026-08,7,8.3,-15.7,normal
3522,Kabupaten Bojonegoro,A90,Demam Berdarah Dengue (DBD),2026-08,42,44.8,-6.2,normal
3522,Kabupaten Bojonegoro,A09,Diare dan Gastroenteritis,2026-08,59,47.2,25.0,waspada
3522,Kabupaten Bojonegoro,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,16,15.3,4.6,normal
3522,Kabupaten Bojonegoro,A27,Leptospirosis,2026-08,9,12.0,-25.0,normal
3523,Kabupaten Tuban,A90,Demam Berdarah Dengue (DBD),2026-08,29,37.1,-21.8,normal
3523,Kabupaten Tuban,A09,Diare dan Gastroenteritis,2026-08,76,62.2,22.2,waspada
3523,Kabupaten Tuban,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,50,52.1,-4.0,normal
3523,Kabupaten Tuban,A27,Leptospirosis,2026-08,10,9.7,3.1,normal
3524,Kabupaten Lamongan,A90,Demam Berdarah Dengue (DBD),2026-08,74,61.8,19.7,normal
3524,Kabupaten Lamongan,A09,Diare dan Gastroenteritis,2026-08,43,56.3,-23.6,normal
3524,Kabupaten Lamongan,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,30,24.5,22.4,waspada
3524,Kabupaten Lamongan,A27,Leptospirosis,2026-08,7,7.8,-10.3,normal
3525,Kabupaten Gresik,A90,Demam Berdarah Dengue (DBD),2026-08,32,39.1,-18.2,normal
3525,Kabupaten Gresik,A09,Diare dan Gastroenteritis,2026-08,37,43.1,-14.2,normal
3525,Kabupaten Gresik,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,13,13.4,-3.0,normal
3525,Kabupaten Gresik,A27,Leptospirosis,2026-08,4,4.1,-2.4,normal
3526,Kabupaten Bangkalan,A90,Demam Berdarah Dengue (DBD),2026-08,23,27.4,-16.1,normal
3526,Kabupaten Bangkalan,A09,Diare dan Gastroenteritis,2026-08,64,67.4,-5.0,normal
3526,Kabupaten Bangkalan,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,12,9.3,29.0,waspada
3526,Kabupaten Bangkalan,A27,Leptospirosis,2026-08,4,3.1,29.0,waspada
3527,Kabupaten Sampang,A90,Demam Berdarah Dengue (DBD),2026-08,53,68.7,-22.9,normal
3527,Kabupaten Sampang,A09,Diare dan Gastroenteritis,2026-08,58,46.3,25.3,waspada
3527,Kabupaten Sampang,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,14,17.4,-19.5,normal
3527,Kabupaten Sampang,A27,Leptospirosis,2026-08,4,4.3,-7.0,normal
3528,Kabupaten Pamekasan,A90,Demam Berdarah Dengue (DBD),2026-08,85,73.8,15.2,normal
3528,Kabupaten Pamekasan,A09,Diare dan Gastroenteritis,2026-08,59,45.8,28.8,waspada
3528,Kabupaten Pamekasan,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,26,36.9,-29.5,normal
3528,Kabupaten Pamekasan,A27,Leptospirosis,2026-08,6,6.7,-10.4,normal
3529,Kabupaten Sumenep,A90,Demam Berdarah Dengue (DBD),2026-08,44,37.2,18.3,normal
3529,Kabupaten Sumenep,A09,Diare dan Gastroenteritis,2026-08,16,21.9,-26.9,normal
3529,Kabupaten Sumenep,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,74,62.2,19.0,normal
3529,Kabupaten Sumenep,A27,Leptospirosis,2026-08,9,7.5,20.0,waspada
3571,Kota Kediri,A90,Demam Berdarah Dengue (DBD),2026-08,38,34.7,9.5,normal
3571,Kota Kediri,A09,Diare dan Gastroenteritis,2026-08,69,56.8,21.5,waspada
3571,Kota Kediri,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,43,42.3,1.7,normal
3571,Kota Kediri,A27,Leptospirosis,2026-08,6,8.4,-28.6,normal
3572,Kota Blitar,A90,Demam Berdarah Dengue (DBD),2026-08,48,37.5,28.0,waspada
3572,Kota Blitar,A09,Diare dan Gastroenteritis,2026-08,37,35.1,5.4,normal
3572,Kota Blitar,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,52,58.9,-11.7,normal
3572,Kota Blitar,A27,Leptospirosis,2026-08,9,11.9,-24.4,normal
3573,Kota Malang,A90,Demam Berdarah Dengue (DBD),2026-08,35,30.7,14.0,normal
3573,Kota Malang,A09,Diare dan Gastroenteritis,2026-08,12,10.1,18.8,normal
3573,Kota Malang,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,25,33.1,-24.5,normal
3573,Kota Malang,A27,Leptospirosis,2026-08,7,6.3,11.1,normal
3574,Kota Probolinggo,A90,Demam Berdarah Dengue (DBD),2026-08,24,27.2,-11.8,normal
3574,Kota Probolinggo,A09,Diare dan Gastroenteritis,2026-08,47,52.3,-10.1,normal
3574,Kota Probolinggo,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,39,48.0,-18.8,normal
3574,Kota Probolinggo,A27,Leptospirosis,2026-08,9,7.5,20.0,waspada
3575,Kota Pasuruan,A90,Demam Berdarah Dengue (DBD),2026-08,55,46.2,19.0,normal
3575,Kota Pasuruan,A09,Diare dan Gastroenteritis,2026-08,42,43.9,-4.3,normal
3575,Kota Pasuruan,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,49,50.3,-2.6,normal
3575,Kota Pasuruan,A27,Leptospirosis,2026-08,5,4.0,25.0,waspada
3576,Kota Mojokerto,A90,Demam Berdarah Dengue (DBD),2026-08,29,33.0,-12.1,normal
3576,Kota Mojokerto,A09,Diare dan Gastroenteritis,2026-08,55,43.5,26.4,waspada
3576,Kota Mojokerto,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,36,42.8,-15.9,normal
3576,Kota Mojokerto,A27,Leptospirosis,2026-08,2,3.4,-41.2,normal
3577,Kota Madiun,A90,Demam Berdarah Dengue (DBD),2026-08,85,73.1,16.3,normal
3577,Kota Madiun,A09,Diare dan Gastroenteritis,2026-08,71,65.7,8.1,normal
3577,Kota Madiun,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,34,37.0,-8.1,normal
3577,Kota Madiun,A27,Leptospirosis,2026-08,7,6.3,11.1,normal
3578,Kota Surabaya,A90,Demam Berdarah Dengue (DBD),2026-08,24,11.6,106.9,perhatian
3578,Kota Surabaya,A09,Diare dan Gastroenteritis,2026-08,21,25.6,-18.0,normal
3578,Kota Surabaya,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,77,74.9,2.8,normal
3578,Kota Surabaya,A27,Leptospirosis,2026-08,2,2.0,0.0,normal
3579,Kota Batu,A90,Demam Berdarah Dengue (DBD),2026-08,97,92.0,5.4,normal
3579,Kota Batu,A09,Diare dan Gastroenteritis,2026-08,78,69.0,13.0,normal
3579,Kota Batu,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,89,71.8,24.0,waspada
3579,Kota Batu,A27,Leptospirosis,2026-08,11,9.3,18.3,normal
