kode_bps,nama_wilayah,tahun,topik,nama_indikator,nilai,satuan,sumber_data,coverage_periode
3519,Kabupaten Madiun,2024,Tenaga Medis,Jumlah Dokter Umum,110.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3520,Kabupaten Magetan,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,14.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3520,Kabupaten Magetan,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,8.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3520,Kabupaten Magetan,2024,Tenaga Medis,Jumlah Dokter Umum,96.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3521,Kabupaten Ngawi,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,16.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3521,Kabupaten Ngawi,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,8.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3521,Kabupaten Ngawi,2024,Tenaga Medis,Jumlah Dokter Umum,114.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3522,Kabupaten Bojonegoro,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,20.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3522,Kabupaten Bojonegoro,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,16.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3522,Kabupaten Bojonegoro,2024,Tenaga Medis,Jumlah Dokter Umum,170.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3523,Kabupaten Tuban,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,17.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3523,Kabupaten Tuban,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,16.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3523,Kabupaten Tuban,2024,Tenaga Medis,Jumlah Dokter Umum,160.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3524,Kabupaten Lamongan,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,18.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3524,Kabupaten Lamongan,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,15.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3524,Kabupaten Lamongan,2024,Tenaga Medis,Jumlah Dokter Umum,165.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3525,Kabupaten Gresik,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,16.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3525,Kabupaten Gresik,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,16.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3525,Kabupaten Gresik,2024,Tenaga Medis,Jumlah Dokter Umum,220.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3526,Kabupaten Bangkalan,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,14.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3526,Kabupaten Bangkalan,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,8.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3526,Kabupaten Bangkalan,2024,Tenaga Medis,Jumlah Dokter Umum,112.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3527,Kabupaten Sampang,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,12.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3527,Kabupaten Sampang,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,10.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3527,Kabupaten Sampang,2024,Tenaga Medis,Jumlah Dokter Umum,94.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3528,Kabupaten Pamekasan,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,13.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3528,Kabupaten Pamekasan,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,7.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3528,Kabupaten Pamekasan,2024,Tenaga Medis,Jumlah Dokter Umum,106.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3529,Kabupaten Sumenep,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,18.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3529,Kabupaten Sumenep,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,12.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3529,Kabupaten Sumenep,2024,Tenaga Medis,Jumlah Dokter Umum,132.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3571,Kota Kediri,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,3.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3571,Kota Kediri,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,6.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3571,Kota Kediri,2024,Tenaga Medis,Jumlah Dokter Umum,145.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3572,Kota Blitar,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,2.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3572,Kota Blitar,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,1.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3572,Kota Blitar,2024,Tenaga Medis,Jumlah Dokter Umum,72.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3573,Kota Malang,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,5.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3573,Kota Malang,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,11.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3573,Kota Malang,2024,Tenaga Medis,Jumlah Dokter Umum,420.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3574,Kota Probolinggo,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,2.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3574,Kota Probolinggo,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,4.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3574,Kota Probolinggo,2024,Tenaga Medis,Jumlah Dokter Umum,80.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3575,Kota Pasuruan,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,2.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3575,Kota Pasuruan,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,6.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3575,Kota Pasuruan,2024,Tenaga Medis,Jumlah Dokter Umum,76.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3576,Kota Mojokerto,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,2.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3576,Kota Mojokerto,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,4.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3576,Kota Mojokerto,2024,Tenaga Medis,Jumlah Dokter Umum,68.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3577,Kota Madiun,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,3.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3577,Kota Madiun,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,3.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3577,Kota Madiun,2024,Tenaga Medis,Jumlah Dokter Umum,95.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3578,Kota Surabaya,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,23.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3578,Kota Surabaya,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,40.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3578,Kota Surabaya,2024,Tenaga Medis,Jumlah Dokter Umum,1250.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3579,Kota Batu,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,2.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3579,Kota Batu,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,3.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3579,Kota Batu,2024,Tenaga Medis,Jumlah Dokter Umum,82.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
